S.No,Topic,Lvl 3 Folder name,Lvl 2 Folder name,Lvl 1 Folder name,Category,Type,Link
270,UDS,UDS ,UDS ,TRAINING DOCUMENTS_2024 BATCH,Software & System,Documents,UDS ppt.pdf
271,V Model,V_Model,V Model,TRAINING DOCUMENTS_2024 BATCH,Quality,Documents,Training session 8 _ V Model.pdf
272,V Model,V_Model,V Model,TRAINING DOCUMENTS_2024 BATCH,Quality,Documents,Training session_ V Model.pptx
274,Basics of C,,,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 1 _ Basics of C.pptx
275,"Overview of Synchronous and Asynchronous I2C, SPI and UART",,Overview of Synchronous and Asynchronous I C SPI and UART Epcaand UA Shaae,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,"Training Session 10 ( Overview of Synchronous and Asynchronous, I2C, SPI and UART) .pptx"
276,"Overview of Synchronous and Asynchronous I2C, SPI and UART",,Overview of Synchronous and Asynchronous I C SPI and UART Epcaand UA Shaae,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,"Training Session 11 ( Overview of Synchronous and Asynchronous, I2C, SPI and UART).pptx"
277,Software Architecture of Typical ECU,,Software Architecture of Typical ECU Epcaypical E Shaae,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,"Training Session 12 ( Software Architecture of typical ECU - Overview on Firmware, Low Level Drivers and Applications.pptx"
278,Bootloader Overview,,,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 13 _Bootloader overview.pptx
279,Recap of Electrical and Electronics along with Sensors,,Recap of Electrical and Electronics along with Sensors Epcmenso Shmmm,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 14 ( Recap of electronics and electrical along with sensros)PPT2-Current.pptx
280,Recap of Electrical and Electronics along with Sensors,,Recap of Electrical and Electronics along with Sensors Epcmenso Shmmm,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 14 ( Recap of electronics and electrical along with sensros)PPT3- Basic electronic Components.pptx
281,Recap of Electrical and Electronics along with Sensors,,Recap of Electrical and Electronics along with Sensors Epcmenso Shmmm,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 14 ( Recap of electronics and electrical along with sensros)PPT4-Basic Electrical Concepts.pptx
282,Recap of Electrical and Electronics along with Sensors,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training session 14 _ ( Recap of electronics and electrical along with sensros) PPT1-Voltage.pptx
283,Recap of Electrical and Electronics along with Sensors,,Recap of Electrical and Electronics along with Sensors Epcmenso Shmmm,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 15 ( Recap of electronics and electrical along with sensros)PPT5-ESD.pptx
284,Recap of Electrical and Electronics along with Sensors,,Recap of Electrical and Electronics along with Sensors Epcmenso Shmmm,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 15 ( Recap of electronics and electrical along with sensros)PPT6-Sensors.pptx
285,Automotive Protocols_CAN,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training session 16 ( Automotive Protocols _ CAN) .pptx
286,Automotive Protocols_CAN,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training session 17 ( Automotive Protocols _ CAN).pptx
287,Automotive Protocols_CAN,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training session 18( Automotive Protocols _ CAN).pptx
288,Automotive Protocols_LIN,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training session 19( Automotive Protocols _ LIN).pptx
289,Basics of C,,,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 2 _ Basics of C.pptx
290,Basics of ISO26262,,,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,Training Session 20_BASICS of ISO 26262 - freshers.pptx
291,Introduction to Testing ,,Introduction to Testing ,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 27( Introduction to testing).pptx
292,Basics of C,,,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 3 _ Basics of C.pptx
293,Basics of C,,,TRAINING DOCUMENTS_2022 BATCH,Software,Documents,Training Session 5 _ Basics of C.pptx
294,Automotive Basics,,,TRAINING DOCUMENTS_2022 BATCH,System,Documents,Training Session 6 _ Automotive basics.pptx
295,V Model,,,TRAINING DOCUMENTS_2022 BATCH,Quality,Documents,Training session 8 _ V Model.pptx
296,QMS Overview,,,TRAINING DOCUMENTS_2022 BATCH,Quality,Documents,Training Session 9 _ QMS Overview.pptx
297,UDS,,UDS ,TRAINING DOCUMENTS_2022 BATCH,Software & System,Documents,UDS ppt.pptx
298,TRAINING DOCUMENTS_2021 BATCH,,,,,,
299,Adaptive AUTOSAR,,Adaptive AUTOSAR,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Adaptive_Autosar_PrasanjitGhosh.pptx
300,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Architecture.pptx
301,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Automotive basics.pptx
302,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics DAY_1.pptx
303,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics DAY_3.pptx
304,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics DAY_4.pptx
305,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics DAY_5.pptx
306,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics Programming DAY_2.pptx
307,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Basics_Assignments.pptx
308,Basics of Programming,,Basics of Programming,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Code_Blocks_Installation.pptx
309,Canoe,,Canoe,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Canoe_Ashith.pdf
310,AUTOSAR Architecture and Basics of BSW,,Classic AUTOSAR Architecture and Basics of BSW,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,AUTOSAR_EXP_LayeredSoftwareArchitecture.pdf
311,Corporate Etiquette,,Corporate Etiquette Excel Sheet,TRAINING DOCUMENTS_2021 BATCH,Management,Documents,Corporate etiquette.pptx
312,Design Techniques using MATLAB,,Design Techniques using MATLAB,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,matlab_simulink_tutorial.pdf
313,Design Techniques using MATLAB,,Design Techniques using MATLAB,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,Matlab_Training.zip
314,Design Techniques using MATLAB,,Design Techniques using MATLAB Ecausing MATL Shaae,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,tutorial1.pdf
315,Diagnostic Techniques,,Diagnostic Techniques,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,AutoCore_Generic_Diagnostic_Stack_documentation.pdf
316,Diagnostic Techniques,,Diagnostic Techniques,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,ISO_14229-1_EN_2013-03-15_view (1).pdf
317,Diagnostic Techniques,,Diagnostic Techniques,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,UDS ppt _ session 1.pptx
318,Ethernet,,Ethernet,TRAINING DOCUMENTS_2021 BATCH,Software & System,Documents,Ethernet_Manu prateek.pptx
319,Intensive Model,,Intensive Model,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,CAN_1.pptx
320,Intensive Model,,Intensive Model,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,CAN_2.pptx
321,Intensive Model,,Intensive Model,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,CAN_3.pptx
322,Intensive Model,,Intensive Model ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,can2spec.pdf
323,LIN,,LIN,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,AUTOSAR_SRS_LIN.pdf
324,LIN,,LIN,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,AUTOSAR_SWS_LINDriver.pdf
325,LIN,,LIN,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Lin_2.0_Specification_Package (1).pdf
326,LIN,,LIN,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LIN-Spec_Pac2_1.pdf
327,LIN,,LIN,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,local interconnect network_Prathiksha Shetty.pptx
328,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,DAY_1_MCA (1).pptx
329,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,DAY_1_MCA.pptx
330,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,DAY_2_MCA.pptx
331,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Infineon-TC21x-TC22x-TC23x-UM-v01_01-EN.pdf
332,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Infineon-TC2xx_Architecture_vol1-UM-v01_00-EN (3).pdf
333,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC2141_42_44_46_48.pdf
334,MCA,,MCA ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC2148 DEVELOPMENT BOARD V1R1 NSK238 SCHEMATIC.pdf
335,MCA,,MCA ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC2148 MINI DEV BOARD.pdf
336,MCA,,MCA ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC2148 PROGRAMMING PROCEDURE.pdf
337,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC214x_user_manual.pdf
338,MCA,,MCA,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,LPC21xx_user_manual.pdf
339,MCAL_CDD_TRAINING,,MCAL CDD TRAINING ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Ricardo.zip
340,MCAL_CDD_TRAINING,,MCAL_CDD_TRAINING,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Test_Report_RICARDO.docx
341,Memory Stack,,Memory Stack ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,AUTOSAR Memory Stack.docx
342,Network Management,,Network Management,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,AUTOSAR_SWS_CANNetworkManagement _ Sandeep.pdf
343,Network Management,,Network Management,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,NM _ Sandeep.pptx
344,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,01Introduction.ppt
345,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,02ProcessesThreads.ppt
346,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,03IPC.ppt
347,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,04ProcessSynchronizationUPDATED.ppt
348,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,05Deadlocks-1.ppt
349,RTOS_INTENSIVE,,RTOS INTENSIVE ,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,06Memory Management -Part1.ppt
350,RTOS_INTENSIVE,,,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,07Real time scheduling_1.ppt
351,RTOS_INTENSIVE,,RTOS_INTENSIVE,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Day1_app_Sumanth.pptx
352,RTOS_INTENSIVE,,RTOS_INTENSIVE,TRAINING DOCUMENTS_2021 BATCH,Software,Documents,Operating_Systems_Concepts.pdf
353,RTOS_INTENSIVE,,,TRAINING DOCUMENTS_2021 BATCH,Quality,Documents,Quality Management System_Preemal.pptx
354,RTOS_INTENSIVE,,,TRAINING DOCUMENTS_2021 BATCH,Quality,Documents,V-Model in Software Engineering_Charan.pptx
356,C Sharp Training,,C Sharp Training,TRAINING C SHARP,Software,Video,C_ First Session-20240711_110227-Meeting Recording.mp4
358,Assignment Marks,,Assignment Marks,NEW JOINERS ASSIGNMENT_SEPTEMBER BATCH,,Documents,Assignment Marks Matrix.xlsx
359,IAST SKILL MATRIX YEAR 2023,,IAST SKILL MATRIX YEAR 2023,NEW JOINERS ASSIGNMENT_SEPTEMBER BATCH,,Documents,Functional Safety Team Skill Matrix.xlsx
360,IAST SKILL MATRIX YEAR 2023,,IAST SKILL MATRIX YEAR 2023,NEW JOINERS ASSIGNMENT_SEPTEMBER BATCH,,Documents,Quality Team Skill Matrix.xlsx
361,IAST SKILL MATRIX YEAR 2023,,IAST SKILL MATRIX YEAR 2023,NEW JOINERS ASSIGNMENT_SEPTEMBER BATCH,,Documents,Security Team Skill Matrix.xlsx
362,IAST SKILL MATRIX YEAR 2023,,IAST SKILL MATRIX YEAR 2023,NEW JOINERS ASSIGNMENT_SEPTEMBER BATCH,,Documents,Systems Team Skill Matrix.xlsx
363,IAST ISMS POLICIES,,,,,,
364,Acceptable Use Policy,,Acceptable Use Policy ,IAST ISMS POLICIES,Management,Documents,Acceptable Use Policy.pdf
365,Access Control Policy,,Access Control Policy,IAST ISMS POLICIES,Management,Documents,Access Control Policy V1.0.pdf
366,Audit Policy,,Audit Policy ,IAST ISMS POLICIES,Management,Documents,Audit Policy V1.0 docx.pdf
367,Backup Policy,,Backup Policy ,IAST ISMS POLICIES,Management,Documents,Backup Policy V1.0.pdf
368,Clear Desktop Policy,,Clear Desktop Policy ,IAST ISMS POLICIES,Management,Documents,Clear Desktop Policy V1.0.pdf
369,Cloud Security Policy,,Cloud Security Policy ,IAST ISMS POLICIES,Management,Documents,Cloud Security Policy V1.0.pdf
370,Configuration Management Policy,,Configuration Management Policy ,IAST ISMS POLICIES,Management,Documents,Configuration Management Policy.pdf
371,Contingency Planning Policy,,Contingency Planning Policy ,IAST ISMS POLICIES,Management,Documents,Contingency Planning Policy.pdf
372,Cryptographic Policy,,Cryptographic Policy ,IAST ISMS POLICIES,Management,Documents,Cryptographic Policy V1.0.pdf
373,Data Classification and Handling Policy,,Data Classification and Handling Policy,IAST ISMS POLICIES,Management,Documents,Data Classification and Handling Policy V1.0.pdf
374,Identification and Authentication Policy,,Identification and Authentication Policy ,IAST ISMS POLICIES,Management,Documents,Identification and Authentication Policy.pdf
375,Incident Response Policy,,Incident Response Policy ,IAST ISMS POLICIES,Management,Documents,Incident Response Policy V1.0.pdf
376,Information Security Policy,,Information Security Policy,IAST ISMS POLICIES,Management,Documents,Information Security Policy V1.0.pdf
377,Intellectual Property Rights Policy,,Intellectual Property Rights Policy ,IAST ISMS POLICIES,Management,Documents,Intellectual Property Rights Policy V1.0.pdf
378,Internet and Email Policy,,Internet and Email Policy ,IAST ISMS POLICIES,Management,Documents,Internet and Email Policy.pdf
379,ISMS Disaster Recovery Plan,,,IAST ISMS POLICIES,Management,Documents,ISMS_Disaster Recovery Plan.pdf
380,Laptop Policy,,Laptop Policy ,IAST ISMS POLICIES,Management,Documents,Laptop Policy.pdf
381,Malware Policy,,Malware Policy ,IAST ISMS POLICIES,Management,Documents,Malware Policy.pdf
382,Media Protection Policy,,Media Protection Policy,IAST ISMS POLICIES,Management,Documents,Media Protection Policy.pdf
383,Mobile Device,,Mobile Device ,IAST ISMS POLICIES,Management,Documents,Mobile Device V1.0.pdf
384,Network Security Policy,,Network Security Policy ,IAST ISMS POLICIES,Management,Documents,Network Security Policy V1.0.pdf
385,Password Policy,,Password Policy ,IAST ISMS POLICIES,Management,Documents,Password Policy V1.0.pdf
386,Personnel Security Policy,,Personnel Security Policy ,IAST ISMS POLICIES,Management,Documents,Personnel Security Policy V1.0.pdf
387,Physical and Envronmental Policy,,Physical and Envronmental Policy ,IAST ISMS POLICIES,Management,Documents,Physical and Environmental Policy V1.0.pdf
388,Risk Assessment and Management Policy,,Risk Assessment and Management Policy ,IAST ISMS POLICIES,Management,Documents,Risk Assessment and Management PolicyV1.0.pdf
389,Security Awareness Training and Testing Policy,,Security Awareness Training and Testing Policy ,IAST ISMS POLICIES,Management,Documents,Security Awareness Training and Testing Policy.pdf
390,Server Security Policy,,Server Security Policy ,IAST ISMS POLICIES,Management,Documents,Server Security Policy V1.0.pdf
391,System Integrity Policy,,System Integrity Policy,IAST ISMS POLICIES,Management,Documents,System Integrity Policy.pdf
392,System Maintenance Policy,,System Maintenance Policy ,IAST ISMS POLICIES,Management,Documents,System Maintenance Policy.pdf
393,System Maintenance Policy,,System Maintenance Policy  ,IAST ISMS POLICIES,Management,Documents,System Maintenance Policy.V1.0docx.pdf
394,Telecommunicating Policy,,Telecommunicating Policy  ,IAST ISMS POLICIES,Management,Documents,Telecommuting Policy V1.0.pdf
395,Third Party Risk Assessment Policy,,Third Party Risk Assessment Policy Cceoli Sseet,IAST ISMS POLICIES,Management,Documents,Third Party Risk Management Policy.pdf
396,User Access Policy,,User Access Policy ,IAST ISMS POLICIES,Management,Documents,User Access Policy V1.0.pdf
397,VAPT Policy,,VAPT Policy ,IAST ISMS POLICIES,Management,Documents,VAPT Policy V1.0.pdf
398,VPN Policy,,VPN Policy ,IAST ISMS POLICIES,Management,Documents,VPN Policy.pdf
400,Archive,,Archive,CI_CD,Software,Documents,CI_CD_Reference_Document_V1.0.pdf
401,KT_Recording,,KT_Recording,CI_CD,Software,Video,KT on Jenkins-20240215_142044-Meeting Recording.mp4
402,Review_Check_List,,Review_Check_List,CI_CD,Software,Video,1319_Review_Record_CI_CD_Reference_Doc.xlsx
403,Review_Check_List,,,CI_CD,Software,Video,CI_CD_Reference_Document.docx
404,Review_Check_List,,,CI_CD,Software,Video,Flow_Control_of_CI_CD.html
406,Bhilai Hiring Database,,,BHILAI_HIRING DATABASE,Management,Documents,Hiring Database _ Bhilai.xlsx
408,Assessment 1 Questions,,,Assessment Report,Assessment,Documents,Assessment 1 Questions _ IAST.pdf
409,Assessment 1- Ayush Verma,,,Assessment Report,Assessment,Documents,ASSESSMENT 1_- AYUSH VERMA.pdf
410,Assessment Marks Matrix,,Assessment Marks Matrix  ,Assessment Report,Assessment,Documents,Assessment Marks Matrix.xlsx
411,Assessment 1- Bharati,,Assessment 1- Bharati,Assessment Report,Assessment,Documents,BHARATI_ASSESSMENT_1.pdf
412,Assessment 1- Chethan M K,,Assessment Chethan M K ocshethan M tsst,Assessment Report,Assessment,Documents,Chethan M K -Assessment 1.pdf
413,Assessment 1- Shikha Dhar,,Assessment Shikha Dhar ,Assessment Report,Assessment,Documents,Shikha Dhar Assessment - 1.pdf
416,Amarnath Mahato,,,Assessment Documents_2024 Batch,Assessment,Documents,C_assessment(Amarnath Mahato).docx
417,Amarnath Mahato,,,Assessment Documents_2024 Batch,Assessment,Documents,C_assessment(Amarnath Mahato).pdf
418,Aryan Ojha,,Aryan Ojha,Assessment Documents_2024 Batch,Assessment,Documents,AryanOjha_C_assessment..docx
419,Aryan Ojha,,,Assessment Documents_2024 Batch,Assessment,Documents,setParity.c.txt
420,Aryan Ojha,,,Assessment Documents_2024 Batch,Assessment,Documents,sortArray.c.txt
421,Ashwini,,Ashwini,Assessment Documents_2024 Batch,Assessment,Documents,Ashwini_C_Assessment.docx
422,Ashwini,,,Assessment Documents_2024 Batch,Assessment,Documents,Solution1.c
423,Ashwini,,,Assessment Documents_2024 Batch,Assessment,Documents,Solution2.c
424,Bhavana,,Bhavana,Assessment Documents_2024 Batch,Assessment,Documents,Bhavana N S_C_Assessment.pdf
425,Bhavana,,,Assessment Documents_2024 Batch,Assessment,Documents,parity_bit.c
426,Bhavana,,,Assessment Documents_2024 Batch,Assessment,Documents,sort_find.c
427,Chandu,,Chandu,Assessment Documents_2024 Batch,Assessment,Documents,C_assignment.(K_Chandu).docx
428,Charan S,,Charan S ,Assessment Documents_2024 Batch,Assessment,Documents,C final assessment.pdf
429,Charan S,,,Assessment Documents_2024 Batch,Assessment,Documents,firstpro.c
430,Charan S,,,Assessment Documents_2024 Batch,Assessment,Documents,secondPro.c
431,Chethan,,Chethan ,Assessment Documents_2024 Batch,Assessment,Documents,bitfield.c
432,Chethan,,,Assessment Documents_2024 Batch,Assessment,Documents,c assignment.docx
433,Chethan,,,Assessment Documents_2024 Batch,Assessment,Documents,sorting.c
434,Jayashree,,Jayashree ,Assessment Documents_2024 Batch,Assessment,Documents,ASSESSMENT ON C.docx
435,Jayashree,,,Assessment Documents_2024 Batch,Assessment,Documents,c_assessement1.c
436,Jayashree,,,Assessment Documents_2024 Batch,Assessment,Documents,c_assessement2.c
437,Manisha,,Manisha ,Assessment Documents_2024 Batch,Assessment,Documents,C Assessment-final(Manisha Kotte).pdf
438,Manisha,,,Assessment Documents_2024 Batch,Assessment,Documents,paritycheck.c
439,Manisha,,,Assessment Documents_2024 Batch,Assessment,Documents,sortfind.c
440,Mihir,,Mihir,Assessment Documents_2024 Batch,Assessment,Documents,Mihir_Sahasrabudhe_C Assessment.docx
441,Mihir,,,Assessment Documents_2024 Batch,Assessment,Documents,Mihir_Sahasrabudhe_C Assessment.pdf
442,Mohammed Ayan Syed,,Mohammed Ayan Syed ,Assessment Documents_2024 Batch,Assessment,Documents,assessment on c mohammed ayan syed.docx
443,Pramod,,Pramod ,Assessment Documents_2024 Batch,Assessment,Documents,code1.c
444,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,code2.c
445,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,Pramod_C_Program_Assessment.pdf
446,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,C-Assessment_Sanjana.docx
447,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,Question_1.c
448,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,Question_2.c
449,Shreya,,,Assessment Documents_2024 Batch,Assessment,Documents,C Assessment_Shreya.docx
450,Shreya,,,Assessment Documents_2024 Batch,Assessment,Documents,parity.c
451,Shreya,,,Assessment Documents_2024 Batch,Assessment,Documents,sort.c
452,Sobia,,Sobia,Assessment Documents_2024 Batch,Assessment,Documents,C_Assessment_Sobia.docx
453,Sobia,,,Assessment Documents_2024 Batch,Assessment,Documents,Setting_parity_bit.c
454,Sobia,,,Assessment Documents_2024 Batch,Assessment,Documents,Sorting_find_missing_elements.c
455,Suresh Kumar,,Suresh Kumar,Assessment Documents_2024 Batch,Assessment,Documents,Program1.c
456,Suresh Kumar,,,Assessment Documents_2024 Batch,Assessment,Documents,Program2.c
457,Suresh Kumar,,,Assessment Documents_2024 Batch,Assessment,Documents,SureshKumar_C_Assessment.pdf
458,Suyash,,Suyash ,Assessment Documents_2024 Batch,Assessment,Documents,checkParity.c
459,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,sorting.c
460,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,Suyash_C_Assessment.docx
461,Suyash,,Swati,Assessment Documents_2024 Batch,Assessment,Documents,output.docx
462,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,Question1.c
463,Swati,,,Assessment Documents_2024 Batch,Assessment,Documents,question2.c
464,Yashas,,,Assessment Documents_2024 Batch,Assessment,Documents,C_Assesment.pdf
465,Yashas,,,Assessment Documents_2024 Batch,Assessment,Documents,question1.c
466,Yashas,,,Assessment Documents_2024 Batch,Assessment,Documents,question2.c
468,Amarnath Mahato,,,Assessment Documents_2024 Batch,Assessment,Documents,C++_assessment(Amarnath Mahato).docx
469,Aryan Ojha,,Aryan Ojha ,Assessment Documents_2024 Batch,Assessment,Documents,Assessment-C++.docx
470,Aryan Ojha,,,Assessment Documents_2024 Batch,Assessment,Documents,que1.cpp
471,Aryan Ojha,,,Assessment Documents_2024 Batch,Assessment,Documents,que2.cpp
472,Aryan Ojha,,,Assessment Documents_2024 Batch,Assessment,Documents,que3.cpp
473,Ashwini,,Ashwini ,Assessment Documents_2024 Batch,Assessment,Documents,Question 1
474,Ashwini,,,Assessment Documents_2024 Batch,Assessment,Documents,Question 2
475,Ashwini,,,Assessment Documents_2024 Batch,Assessment,Documents,Question 3
476,Bhavana,,Bhavana ,Assessment Documents_2024 Batch,Assessment,Documents,C++ assessment.docx
477,Bhavana,,,Assessment Documents_2024 Batch,Assessment,Documents,stack.cpp
478,Bhavana,,,Assessment Documents_2024 Batch,Assessment,Documents,ticket.cpp
479,Bhavana,,,Assessment Documents_2024 Batch,Assessment,Documents,vector.cpp
480,Chandu,,,Assessment Documents_2024 Batch,Assessment,Documents,cpp_final assesssment.docx
481,Charan,,Charan ,Assessment Documents_2024 Batch,Assessment,Documents,Cpp final assessment.pdf
482,Chethan,,Chethan ,Assessment Documents_2024 Batch,Assessment,Documents,c++ assessment -CHETHAN.docx
483,Jayashree,,Jayashree ,Assessment Documents_2024 Batch,Assessment,Documents,ASSESSMENT ON C++ by Jayashree.docx
484,Manisha,,Manisha ,Assessment Documents_2024 Batch,Assessment,Documents,cpp main- assessment.docx
485,Mihir,,Mihir,Assessment Documents_2024 Batch,Assessment,Documents,C++_Assessment_Mihir_Sahasrabudhe.pdf
486,Mohammed Ayan Syed,,Mohammed Ayan Syed ,Assessment Documents_2024 Batch,Assessment,Documents,CPP ASSESSMENT.docx
487,Pramod,,Pramod,Assessment Documents_2024 Batch,Assessment,Documents,Pramod_CPP_Exam.pdf
488,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,question1.cpp
489,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,question2.cpp
490,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,question3.cpp
491,Pramod,,,Assessment Documents_2024 Batch,Assessment,Documents,TrainDetails.csv
492,Razik,,Razik ,Assessment Documents_2024 Batch,Assessment,Documents,1.cpp
493,Razik,,,Assessment Documents_2024 Batch,Assessment,Documents,2.cpp
494,Razik,,,Assessment Documents_2024 Batch,Assessment,Documents,3.cpp
495,Razik,,,Assessment Documents_2024 Batch,Assessment,Documents,CPP Assessment_razik.docx
496,Razik,,,Assessment Documents_2024 Batch,Assessment,Documents,TrainDetails.csv
497,Sanjana,,Sanjana ,Assessment Documents_2024 Batch,Assessment,Documents,C++ Assessment-Sanjana.docx
498,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,reversing_stack.cpp
499,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,train.cpp
500,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,TrainDetails.csv
501,Sanjana,,,Assessment Documents_2024 Batch,Assessment,Documents,vectorthread.cpp
502,Shreya,,Shreya ,Assessment Documents_2024 Batch,Assessment,Documents,cpp.assesment.docx
503,Sobia,,Sobia ,Assessment Documents_2024 Batch,Assessment,Documents,C++ Assessment.docx
504,Suresh Kumar,,Suresh Kumar ,Assessment Documents_2024 Batch,Assessment,Documents,Problem1.cpp
505,Suresh Kumar,,,Assessment Documents_2024 Batch,Assessment,Documents,Problem2.cpp
506,Suresh Kumar,,,Assessment Documents_2024 Batch,Assessment,Documents,Problem3.cpp
507,Suresh Kumar,,,Assessment Documents_2024 Batch,Assessment,Documents,SureshKumar_CPP_Assessment.pdf
508,Suyash,,Suyash ,Assessment Documents_2024 Batch,Assessment,Documents,duplicate.cpp
509,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,reverse.cpp
510,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,Suyash C++ Assessment.docx
511,Suyash,,,Assessment Documents_2024 Batch,Assessment,Documents,train.cpp
512,Swati,,Swati ,Assessment Documents_2024 Batch,Assessment,Documents,c++ assessment.docx
513,Swati,,,Assessment Documents_2024 Batch,Assessment,Documents,stacktemplate.cpp
514,Swati,,,Assessment Documents_2024 Batch,Assessment,Documents,ticketbooking.cpp
